TITULO                                             | ID/SLUG                                  | URL
Tiger: Tanque de guerra                            | tiger-tanque-de-guerra                   | https://movidex.lat/tiger-tanque-de-guerra/
Regreso del Todopoderoso                           | regreso-del-todopoderoso                 | https://movidex.lat/regreso-del-todopoderoso/
Demon Slayer: Kimetsu no Yaiba                     | demon-slayer-kimetsu-no-yaiba            | https://movidex.lat/demon-slayer-kimetsu-no-yaiba/
Tía Edna                                           | tia-edna                                 | https://movidex.lat/tia-edna/
Hazbin Hotel                                       | hazbin-hotel                             | https://movidex.lat/hazbin-hotel/
Alias                                              | alias                                    | https://movidex.lat/alias/
Mi pobre angelito 2: Perdido en Nueva York         | mi-pobre-angelito-2-perdido-en-nueva-york | https://movidex.lat/mi-pobre-angelito-2-perdido-en-nueva-york/
Rut y Booz                                         | rut-y-booz                               | https://movidex.lat/rut-y-booz/
Naruto la Película: ¡El Rescate de la Princesa de  | naruto-la-pelicula-el-rescate-de-la-princesa-de-la-nieve | https://movidex.lat/naruto-la-pelicula-el-rescate-de-la-princesa-de-la-nieve/
La casa de cristal                                 | la-casa-de-cristal                       | https://movidex.lat/la-casa-de-cristal/
Curso Intensivo de Amor                            | curso-intensivo-de-amor                  | https://movidex.lat/curso-intensivo-de-amor/
Happy Gilmore                                      | happy-gilmore                            | https://movidex.lat/happy-gilmore/
Marvel Zombies                                     | marvel-zombies                           | https://movidex.lat/marvel-zombies/
9-1-1: Lone Star                                   | 9-1-1-lone-star                          | https://movidex.lat/9-1-1-lone-star/
Viaje al centro de la Tierra 2: La isla misteriosa | viaje-al-centro-de-la-tierra-2-la-isla-misteriosa | https://movidex.lat/viaje-al-centro-de-la-tierra-2-la-isla-misteriosa/
Canina                                             | canina                                   | https://movidex.lat/canina/
El despertar del diablo 2                          | el-despertar-del-diablo-2                | https://movidex.lat/el-despertar-del-diablo-2/
El cuento de la dama Ok                            | el-cuento-de-la-dama-ok                  | https://movidex.lat/el-cuento-de-la-dama-ok/
Mentes Criminales                                  | mentes-criminales                        | https://movidex.lat/mentes-criminales/
Jaula mental (Mindcage)                            | jaula-mental-mindcage                    | https://movidex.lat/jaula-mental-mindcage/
El practicante                                     | el-practicante                           | https://movidex.lat/el-practicante/
Pánico en el tren bala                             | panico-en-el-tren-bala                   | https://movidex.lat/panico-en-el-tren-bala/
Kill Bill: Vol. 1                                  | kill-bill-vol-1                          | https://movidex.lat/kill-bill-vol-1/
Un Lugar En Silencio                               | un-lugar-en-silencio                     | https://movidex.lat/un-lugar-en-silencio/
Shaitaan                                           | shaitaan                                 | https://movidex.lat/shaitaan/
A mi altura                                        | a-mi-altura                              | https://movidex.lat/a-mi-altura/
